Archive:  students-tests.zip
   creating: /home/vlad/IST/asa/students-tests/
  inflating: /home/vlad/IST/asa/students-tests/st05.out  
  inflating: /home/vlad/IST/asa/students-tests/st01.in  
  inflating: /home/vlad/IST/asa/students-tests/st02.out  
  inflating: /home/vlad/IST/asa/students-tests/st04.in  
  inflating: /home/vlad/IST/asa/students-tests/st03.out  
  inflating: /home/vlad/IST/asa/students-tests/st03.in  
  inflating: /home/vlad/IST/asa/students-tests/st02.in  
  inflating: /home/vlad/IST/asa/students-tests/st04.out  
  inflating: /home/vlad/IST/asa/students-tests/st05.in  
  inflating: /home/vlad/IST/asa/students-tests/st01.out  
st01.in FAILED
st02.in FAILED
st03.in FAILED
st04.in FAILED
st05.in FAILED
Archive:  gerador.zip
  inflating: /home/vlad/IST/asa/gerador/gerador  
Running plotting tests; variable edges
500100 0.35
600100 0.36
700100 0.36
800100 0.36
900100 0.36
1000100 0.36
1100100 0.35
1200100 0.41
1300100 0.48
1400100 0.56
1500100 0.63
1600100 0.70
1700100 0.76
1800100 0.83
1900100 0.91
2000100 0.96
2100100 1.01
2200100 1.08
2300100 1.13
2400100 1.19
2500100 1.25
2600100 1.29
2700100 1.35
2800100 1.41
2900100 1.45
3000100 1.51
3100100 1.57
3200100 1.62
3300100 1.67
3400100 1.72
3500100 1.78
3600100 1.82
3700100 1.88
3800100 1.93
3900100 1.97
4000100 2.04
4100100 2.09
4200100 2.16
4300100 2.20
4400100 2.25
4500100 2.29
4600100 2.35
4700100 2.41
4800100 2.45
4900100 2.51
5000100 2.56
5100100 2.60
5200100 2.66
5300100 2.73
5400100 2.78
5500100 2.82
5600100 2.89
5700100 2.94
5800100 2.98
5900100 3.02
6000100 3.08
6100100 3.15
6200100 3.22
6300100 3.25
6400100 3.30
6500100 3.36
6600100 3.41
6700100 3.47
6800100 3.55
6900100 3.58
7000100 3.64
7100100 3.70
7200100 3.75
7300100 3.79
7400100 3.84
7500100 3.90
7600100 3.94
7700100 3.99
7800100 4.09
7900100 4.13
8000100 4.17
8100100 4.24
8200100 4.29
8300100 4.36
8400100 4.37
8500100 4.45
8600100 4.51
8700100 4.60
8800100 4.62
8900100 4.67
9000100 4.74
9100100 4.79
9200100 4.79
9300100 4.88
9400100 4.95
9500100 4.99
9600100 5.12
9700100 5.14
9800100 5.12
9900100 5.28
10000100 5.30
10100100 5.35
10200100 5.37
10300100 5.42
10400100 5.50
Running plotting tests; variable vertices
500100 0.00
600100 0.22
700100 0.27
800100 0.28
900100 0.28
1000100 0.36
1100100 0.44
1200100 0.52
1300100 0.61
1400100 0.69
1500100 0.77
1600100 0.86
1700100 0.95
1800100 1.03
1900100 1.12
2000100 1.21
2100100 1.29
2200100 1.39
2300100 1.47
2400100 1.56
2500100 1.64
2600100 1.73
2700100 1.82
2800100 1.90
2900100 1.98
3000100 2.07
3100100 2.15
3200100 2.24
